"School Name","DBN","Budget","Total Enrollment","Budget Per Student","School Type","School Category","Street Address","City","State","Zip Code","Borough","Latitude","Longitude","Coordinates","Report Type","Report Grade","Number of Students in Cohort","Percent of Graduation Students in Cohort","Percent of Cohort Who Took Regents","Percent of Graduates Who Took Regents","Percent of Cohort Who Took Advanced Regents","Percent of Graduates Who Took Advanced Regents","Percent of Cohort Who Took Regents Without Advanced","Percent of Graduates Who Took Regents Without Advanced","Percent of Cohort Who Are Still Enrolled","Percent of Cohort Who Dropped Out","ELA Mean Scale Score","Percent of Students Scoring Level 1 in ELA","Percent of Students Scoring Level 2 in ELA","Percent of Students Scoring Level 3 in ELA","Percent of Students Scoring Level 4 in ELA","Math Mean Scale Score","Percent of Students Scoring Level 1 in Math","Percent of Students Scoring Level 2 in Math","Percent of Students Scoring Level 3 in Math","Percent of Students Scoring Level 4 in Math"
"P.S. 214","X214","8101350","865","9365.7225","General Academic","K-8","1970 WEST FARMS ROAD","BRONX","NY","10460","X","40.83865180000000","-73.88107939999999","[-73.88107939999999,40.8386518]","EMS","B",,,,,,,,,,,"2.163","20","46","28","4","2.551","11","40","29","18"
"P.S. 214 Cadwallader Colden","Q214","3835122","434","8836.6866","General Academic","Elementary","31-15 140 STREET","QUEENS","NY","11354","Q","40.77013110000000","-73.82850060000000","[-73.8285006,40.7701311]","EMS","A",,,,,,,,,,,"2.590","8","35","47","10","3.151","1","21","39","38"
"P.S. 214 Michael Friedsam","K214","8804930","1118","7875.6082","General Academic","Elementary","2944 PITKIN AVENUE","BROOKLYN","NY","11208","K","40.67650960000000","-73.86312050000000","[-73.8631205,40.6765096]","EMS","B",,,,,,,,,,,"2.336","15","41","36","6","2.666","9","35","35","20"
"P.S. 215 Lucretia Mott","Q215","5348841","648","8254.3843","General Academic","Elementary","535 BRIAR PLACE","QUEENS","NY","11691","Q","40.59918110000000","-73.75829829999999","[-73.75829829999999,40.5991811]","EMS","D",,,,,,,,,,,"1.950","30","48","19","3","2.142","17","54","23","4"
"P.S. 215 Morris H. Weiss","K215","5419827","738","7343.9390","General Academic","Elementary","415 AVENUE S","BROOKLYN","NY","11223","K","40.60209580000000","-73.97001690000000","[-73.9700169,40.6020958]","EMS","C",,,,,,,,,,,"2.666","9","30","45","15","3.061","5","21","35","37"
"P.S. 216 Arturo Toscanini","K216","4467894","455","9819.5473","General Academic","Elementary","350 AVENUE X","BROOKLYN","NY","11223","K","40.59054530000000","-73.97011060000000","[-73.9701106,40.5905453]","EMS","B",,,,,,,,,,,"2.686","5","34","47","13","3.060","1","25","41","33"
"P.S. 217 Colonel David Marcus School","K217","11131876","1285","8662.9385","General Academic","Elementary","1100 NEWKIRK AVENUE","BROOKLYN","NY","11230","K","40.63405849999999","-73.96632310000000","[-73.9663231,40.63405849999999]","EMS","B",,,,,,,,,,,"2.555","9","37","42","11","2.949","7","21","41","30"
"P.S. 219 Kennedy-King","K219","7608124","842","9035.7767","General Academic","Elementary","1060 CLARKSON AVENUE","BROOKLYN","NY","11212","K","40.65882300000000","-73.92228899999999","[-73.92228899999999,40.658823]","EMS","C",,,,,,,,,,,"2.232","15","49","32","3","2.469","10","43","34","11"
"P.S. 219 Paul Klapper","Q219","6396049","615","10400.0797","General Academic","K-8","144-39 GRAVETT ROAD","QUEENS","NY","11367","Q","40.73522230000000","-73.82402900000001","[-73.82402900000001,40.7352223]","EMS","A",,,,,,,,,,,"2.555","8","37","45","9","3.153","3","18","38","39"
"P.S. 220 Edward Mandel","Q220","5604164","506","11075.4229","General Academic","Elementary","62-10 108 STREET","QUEENS","NY","11375","Q","40.73646250000000","-73.85143620000000","[-73.8514362,40.7364625]","EMS","A",,,,,,,,,,,"2.306","16","42","34","6","2.868","7","27","37","28"
"P.S. 221 The North Hills School","Q221","4600855","629","7314.5548","General Academic","Elementary","57-40 MARATHON PARKWAY","QUEENS","NY","11362","Q","40.75879000000000","-73.73149100000000","[-73.731491,40.75879]","EMS","A",,,,,,,,,,,"3.232","0","12","52","35","3.600","0","5","30","65"
"P.S. 221 Toussaint L'Ouverture","K221","6137035","636","9649.4261","General Academic","Elementary","791 EMPIRE BOULEVARD","BROOKLYN","NY","11213","K","40.66370590000000","-73.93604650000000","[-73.9360465,40.6637059]","EMS","C",,,,,,,,,,,"2.171","20","46","29","4","2.408","13","42","33","10"
"P.S. 222 Katherine R. Snyder","K222","8940642","869","10288.4258","General Academic","Elementary","3301 QUENTIN ROAD","BROOKLYN","NY","11234","K","40.61325520000000","-73.93897470000000","[-73.9389747,40.6132552]","EMS","A",,,,,,,,,,,"3.000","3","17","56","23","3.410","2","7","39","52"
"P.S. 223 Lyndon B. Johnson","Q223","6541765","673","9720.3046","General Academic","Elementary","125-20 SUTPHIN BOULEVARD","QUEENS","NY","11434","Q","40.67470500000000","-73.79034899999999","[-73.79034899999999,40.674705]","EMS","B",,,,,,,,,,,"2.428","13","41","33","11","2.680","8","39","30","23"
"P.S. 224 Hale A. Woodruff","K224","7258298","856","8479.3201","General Academic","Elementary","757 WORTMAN AVENUE","BROOKLYN","NY","11208","K","40.66487600000000","-73.86595400000000","[-73.865954,40.664876]","EMS","B",,,,,,,,,,,"2.153","19","48","28","3","2.424","11","45","33","10"
"P.S. 226","X226","4268301","404","10565.1015","General Academic","Elementary","1950 SEDGWICK AVENUE","BRONX","NY","10453","X","40.85600060000000","-73.91625200000000","[-73.916252,40.8560006]","EMS","D",,,,,,,,,,,"2.232","13","52","32","2","2.464","11","43","33","12"
"P.S. 226 Alfred De B.Mason","K226","9058404","795","11394.2189","General Academic","K-8","6006 23 AVENUE","BROOKLYN","NY","11204","K","40.61528590000000","-73.97632229999999","[-73.97632229999999,40.6152859]","EMS","A",,,,,,,,,,,"2.505","9","41","39","10","3.070","3","25","33","38"
"P.S. 228 Early Childhood Magnet School of the Arts","Q228","3796588","394","9636.0102","General Academic","Early Childhood","32-63 93 STREET","QUEENS","NY","11369","Q","40.75701240000000","-73.87517750000000","[-73.8751775,40.7570124]","EC","A",,,,,,,,,,,,,,,,,,,,
"P.S. 229 Dyker","K229","5372577","782","6870.3031","General Academic","K-8","1400 BENSON AVENUE","BROOKLYN","NY","11228","K","40.61032300000000","-74.01359699999999","[-74.01359699999999,40.610323]","EMS","B",,,,,,,,,,,"2.899","5","20","54","20","3.262","2","16","35","46"
"P.S. 229 Emanuel Kaplan","Q229","10763456","1339","8038.4287","General Academic","Elementary","67-25 51 ROAD","QUEENS","NY","11377","Q","40.73467700000000","-73.89711400000002","[-73.89711400000002,40.734677]","EMS","A",,,,,,,,,,,"2.632","9","31","45","13","3.141","4","18","37","40"
"P.S. 230 Doris L. Cohen","K230","9982298","1230","8115.6894","General Academic","Elementary","1 ALBEMARLE ROAD","BROOKLYN","NY","11218","K","40.64500600000000","-73.98090739999999","[-73.98090739999999,40.645006]","EMS","C",,,,,,,,,,,"2.632","9","32","43","14","2.798","7","30","38","24"
"P.S. 230 Dr Roland N. Patterson","X230","4616425","410","11259.5732","General Academic","Elementary","275 HARLEM RIVER PARK BRIDGE","BRONX","NY","10453","X","40.84156260000000","-73.92960450000000","[-73.9296045,40.8415626]","EMS","C",,,,,,,,,,,"1.939","30","46","22","1","2.193","15","56","20","7"
"P.S. 232 Lindenwood","Q232","7174738","924","7764.8680","General Academic","K-8","153-23 83 STREET","QUEENS","NY","11414","Q","40.66043459999999","-73.84985940000000","[-73.8498594,40.66043459999999]","EMS","A",,,,,,,,,,,"2.767","6","27","50","16","3.112","3","23","32","40"
"P.S. 233 Langston Hughes","K233","6170177","714","8641.7045","General Academic","Elementary","9301 AVENUE B","BROOKLYN","NY","11236","K","40.65163000000000","-73.91427200000001","[-73.91427200000001,40.65163]","EMS","C",,,,,,,,,,,"2.316","16","41","35","6","2.575","10","38","35","16"
"P.S. 234","Q234","5610620","688","8154.9709","General Academic","Elementary","30-15 29 STREET","QUEENS","NY","11102","Q","40.76702840000000","-73.92334160000000","[-73.9233416,40.7670284]","EMS","A",,,,,,,,,,,"2.707","6","31","48","14","3.060","1","27","36","35"
"P.S. 234 Independence School","M234","5162945","820","6296.2744","General Academic","Elementary","292 GREENWICH STREET","MANHATTAN","NY","10007","M","40.71625600000000","-74.01166700000000","[-74.011667,40.716256]","EMS","B",,,,,,,,,,,"3.153","1","12","56","29","3.424","0","9","39","51"
"P.S. 235 Lenox School","K235","8326001","1383","6020.2466","General Academic","K-8","525 LENOX ROAD","BROOKLYN","NY","11203","K","40.65471260000000","-73.94100420000000","[-73.9410042,40.6547126]","EMS","B",,,,,,,,,,,"2.767","6","27","50","16","2.950","4","25","43","28"
"P.S. 236 Langston Hughes","X236","5076949","382","13290.4424","General Academic","Elementary","1871 WALTON AVENUE","BRONX","NY","10453","X","40.84889730000000","-73.90954730000000","[-73.9095473,40.8488973]","EC","B",,,,,,,,,,,,,,,,,,,,
"P.S. 236 Mill Basin","K236","5178613","630","8220.0206","General Academic","Elementary","6302 AVENUE U","BROOKLYN","NY","11234","K","40.61585150000000","-73.91266250000000","[-73.9126625,40.6158515]","EMS","B",,,,,,,,,,,"2.969","3","21","51","24","3.252","1","18","35","45"
"P.S. 238 Anne Sullivan","K238","7614305","522","14586.7912","General Academic","K-8","1633 EAST 8 STREET","BROOKLYN","NY","11223","K","40.60878480000000","-73.96506260000000","[-73.9650626,40.6087848]","EMS","B",,,,,,,,,,,"2.234","11","56","28","3","2.585","8","37","42","12"
"P.S. 239","Q239","5851900","790","7407.4684","General Academic","Elementary","17-15 WEIRFIELD STREET","QUEENS","NY","11385","Q","40.69943000000000","-73.90383299999999","[-73.90383299999999,40.69943]","EMS","B",,,,,,,,,,,"2.224","14","51","30","3","2.571","7","41","37","13"
"P.S. 241 Emma L. Johnston","K241","5808064","589","9860.8896","General Academic","Elementary","976 PRESIDENT STREET","BROOKLYN","NY","11225","K","40.66915240000001","-73.95993690000000","[-73.9599369,40.66915240000001]","EMS","C",,,,,,,,,,,"2.454","10","40","43","6","2.910","6","27","37","30"
"P.S. 242 - The Young Diplomats Magnet Academy","M242","2678836","218","12288.2385","General Academic","Elementary","134 WEST 122 STREET","MANHATTAN","NY","10027","M","40.80642510000000","-73.94828520000000","[-73.9482852,40.8064251]","EMS","C",,,,,,,,,,,"2.090","23","47","26","3","2.316","14","48","27","9"
"P.S. 242 Leonard P. Stavisky Early Childhood School","Q242","3864556","374","10333.0374","General Academic","Elementary","29-66 137 STREET","QUEENS","NY","11354","Q","40.76976670000000","-73.83153070000000","[-73.8315307,40.7697667]","EC","A",,,,,,,,,,,"3.363","0","8","47","44","3.460","0","9","36","55"
"P.S. 243K- The Weeksville School","K243","4530735","363","12481.3636","General Academic","Elementary","1580 DEAN STREET","BROOKLYN","NY","11213","K","40.67607900000000","-73.93556240000000","[-73.9355624,40.676079]","EMS","C",,,,,,,,,,,"2.151","20","47","29","3","2.444","10","46","32","11"
"P.S. 244 Richard R. Green","K244","9872602","878","11244.4214","General Academic","Elementary","5404 TILDEN AVENUE","BROOKLYN","NY","11203","K","40.64843590000000","-73.92565080000000","[-73.9256508,40.6484359]","EMS","B",,,,,,,,,,,"2.484","11","38","41","9","2.707","9","32","37","21"
"P.S. 245","K245","2101306","209","10054.0957","General Academic","Elementary","249 EAST 17TH STREET","BROOKLYN","NY","11226","K","40.64489300000000","-73.96272700000000","[-73.962727,40.644893]","EMS","A",,,,,,,,,,,"2.470","11","40","40","9","2.616","6","43","33","17"
"P.S. 246 Poe Center","X246","7254588","786","9229.7557","General Academic","Elementary","2641 GRAND CONCOURSE","BRONX","NY","10468","X","40.86597500000000","-73.89531400000000","[-73.895314,40.865975]","EMS","C",,,,,,,,,,,"1.928","31","45","20","2","2.434","9","49","30","11"
"P.S. 247 Brooklyn","K247","5432476","699","7771.7825","General Academic","Elementary","7000 21 AVENUE","BROOKLYN","NY","11204","K","40.61224600000000","-73.98719300000000","[-73.987193,40.612246]","EMS","A",,,,,,,,,,,"2.899","4","21","55","19","3.250","2","15","39","44"
"P.S. 249 The Caton","K249","5910796","727","8130.3934","General Academic","Elementary","18 MARLBOROUGH ROAD","BROOKLYN","NY","11226","K","40.64985840000000","-73.96608510000000","[-73.9660851,40.6498584]","EC","A",,,,,,,,,,,"2.616","7","34","48","10","3.070","0","25","42","32"
"P.S. 250 George H. Lindsay","K250","6219539","816","7621.9841","General Academic","Elementary","108 MONTROSE AVENUE","BROOKLYN","NY","11206","K","40.70713030000000","-73.94515299999999","[-73.94515299999999,40.7071303]","EMS","B",,,,,,,,,,,"2.474","9","42","40","8","2.717","5","38","36","20"
"P.S. 251 Paerdegat","K251","6190856","661","9365.8941","General Academic","Elementary","1037 EAST 54 STREET","BROOKLYN","NY","11234","K","40.63193800000000","-73.92388000000000","[-73.92388,40.631938]","EMS","C",,,,,,,,,,,"2.306","14","46","32","6","2.515","9","42","36","12"
"P.S. 251 Queens","Q251","3300698","372","8872.8441","General Academic","Elementary","144-51 ARTHUR STREET","QUEENS","NY","11413","Q","40.66480440000000","-73.75999120000000","[-73.7599912,40.6648044]","EC","C",,,,,,,,,,,"2.510","11","38","37","12","2.565","9","39","37","14"
"P.S. 253","K253","5573927","663","8407.1297","General Academic","Elementary","601 OCEANVIEW AVENUE","BROOKLYN","NY","11235","K","40.58022170000000","-73.95748370000000","[-73.9574837,40.5802217]","EMS","A",,,,,,,,,,,"2.489","11","37","41","9","2.858","4","29","43","23"
"P.S. 253","Q253","5144743","552","9320.1866","General Academic","Elementary","1307 CENTRAL AVENUE","QUEENS","NY","11691","Q","40.60722400000000","-73.74881490000000","[-73.7488149,40.607224]","EMS","C",,,,,,,,,,,"2.132","21","46","28","3","2.393","10","50","29","10"
"P.S. 254 - The Rosa Parks School","Q254","5586801","623","8967.5778","General Academic","Elementary","84-40 101 STREET","QUEENS","NY","11418","Q","40.69717700000000","-73.84786600000000","[-73.847866,40.697177]","EMS","A",,,,,,,,,,,"2.969","2","17","61","18","3.470","1","8","34","57"
"P.S. 254 Dag Hammarskjold","K254","5235277","598","8754.6438","General Academic","Elementary","1801 AVENUE Y","BROOKLYN","NY","11235","K","40.59109200000000","-73.95155500000000","[-73.951555,40.591092]","EMS","A",,,,,,,,,,,"2.888","4","24","50","21","3.464","1","9","32","57"
"P.S. 255 Barbara Reing School","K255","8256923","780","10585.7987","General Academic","Elementary","1866 EAST 17 STREET","BROOKLYN","NY","11229","K","40.60504140000000","-73.95568490000000","[-73.9556849,40.6050414]","EMS","A",,,,,,,,,,,"2.704","11","23","48","16","3.153","6","14","37","41"
"P.S. 256 Benjamin Banneker","K256","4138212","381","10861.4488","General Academic","Elementary","114 KOSCIUSKO STREET","BROOKLYN","NY","11216","K","40.69077450000000","-73.94993440000000","[-73.9499344,40.6907745]","EMS","C",,,,,,,,,,,"2.400","13","43","35","9","2.474","12","41","33","13"
"P.S. 257 John F. Hylan","K257","6565104","564","11640.2553","General Academic","Elementary","60 COOK STREET","BROOKLYN","NY","11206","K","40.70239440000000","-73.94172420000000","[-73.9417242,40.7023944]","EMS","A",,,,,,,,,,,"2.357","15","40","36","7","2.760","7","34","35","24"
"P.S. 260 Breuckelen","K260","3645274","362","10069.8177","General Academic","Elementary","875 WILLIAMS AVENUE","BROOKLYN","NY","11207","K","40.65400830000000","-73.89484470000001","[-73.89484470000001,40.6540083]","EMS","D",,,,,,,,,,,"2.010","24","54","19","3","2.230","13","56","26","5"
"P.S. 261 Philip Livingston","K261","6433135","816","7883.7439","General Academic","Elementary","314 PACIFIC STREET","BROOKLYN","NY","11201","K","40.68735620000000","-73.98821380000000","[-73.9882138,40.6873562]","EMS","B",,,,,,,,,,,"2.770","7","30","42","21","2.918","4","29","36","29"
"P.S. 262 El Hajj Malik El Shabazz Elementary School","K262","3546595","367","9663.7466","General Academic","Elementary","500 MACON STREET","BROOKLYN","NY","11233","K","40.68306480000000","-73.93036350000000","[-73.9303635,40.6830648]","EMS","A",,,,,,,,,,,"2.826","5","23","54","16","3.070","3","18","47","31"
"P.S. 268 Emma Lazarus","K268","4915146","579","8489.0259","General Academic","Elementary","133 EAST 53 STREET","BROOKLYN","NY","11203","K","40.65692620000000","-73.92799850000000","[-73.9279985,40.6569262]","EMS","C",,,,,,,,,,,"2.306","13","47","33","5","2.383","12","45","34","8"
"P.S. 269 Nostrand","K269","5100077","556","9172.8004","General Academic","Elementary","1957 NOSTRAND AVENUE","BROOKLYN","NY","11210","K","40.63766600000000","-73.94767600000000","[-73.947676,40.637666]","EMS","C",,,,,,,,,,,"2.191","17","49","30","3","2.303","15","46","31","7"
"P.S. 270 Johann DeKalb","K270","3016865","253","11924.3676","General Academic","Elementary","241 EMERSON PLACE","BROOKLYN","NY","11205","K","40.69155560000000","-73.96173220000000","[-73.9617322,40.6915556]","EMS","A",,,,,,,,,,,"2.838","4","26","51","18","3.272","2","15","36","46"
"P.S. 272 Curtis Estabrook","K272","7372242","713","10339.7504","General Academic","Elementary","101-24 SEAVIEW AVENUE","BROOKLYN","NY","11236","K","40.63569360000000","-73.88629910000000","[-73.8862991,40.6356936]","EMS","C",,,,,,,,,,,"2.202","17","50","27","5","2.438","10","47","29","12"
"P.S. 273 Wortman","K273","4282222","458","9349.8297","General Academic","Elementary","923 JEROME STREET","BROOKLYN","NY","11207","K","40.65786730000000","-73.87928900000000","[-73.879289,40.6578673]","EMS","C",,,,,,,,,,,"2.353","18","37","35","9","2.622","10","38","29","21"
"P.S. 274 Kosciusko","K274","6335074","736","8607.4375","General Academic","Elementary","800 BUSHWICK AVENUE","BROOKLYN","NY","11221","K","40.69418599999999","-73.92815700000000","[-73.928157,40.69418599999999]","EMS","A",,,,,,,,,,,"2.193","19","46","28","5","2.555","8","44","31","16"
"P.S. 276 Louis Marshall","K276","7697504","877","8777.0855","General Academic","Elementary","1070 EAST 83 STREET","BROOKLYN","NY","11236","K","40.63387810000000","-73.90790600000000","[-73.907906,40.6338781]","EMS","C",,,,,,,,,,,"2.323","18","39","34","8","2.600","9","39","35","17"
"P.S. 277","X277","5422032","519","10447.0751","General Academic","Elementary","519 ST ANNS AVENUE","BRONX","NY","10455","X","40.81415500000000","-73.91303970000000","[-73.9130397,40.814155]","EMS","C",,,,,,,,,,,"1.818","37","45","15","2","2.081","20","54","20","4"
"P.S. 277 Gerritsen Beach","K277","3920584","464","8449.5345","General Academic","Elementary","2529 GERRITSEN AVENUE","BROOKLYN","NY","11229","K","40.59595800000000","-73.92793499999999","[-73.92793499999999,40.595958]","EMS","A",,,,,,,,,,,"2.929","3","21","55","20","3.310","0","15","39","46"
"P.S. 279 Captain Manuel Rivera, Jr.","X279","8183204","958","8541.9666","General Academic","K-8","2100 WALTON AVENUE","BRONX","NY","10453","X","40.85480440000000","-73.90523100000000","[-73.905231,40.8548044]","EMS","B",,,,,,,,,,,"2.040","22","54","20","3","2.336","15","44","30","9"
"P.S. 279 Herman Schreiber","K279","6357369","638","9964.5282","General Academic","Elementary","1070 EAST 104 STREET","BROOKLYN","NY","11236","K","40.64421300000000","-73.89228910000000","[-73.8922891,40.644213]","EMS","C",,,,,,,,,,,"2.383","14","39","40","6","2.571","11","36","35","16"
"P.S. 28 - The Thomas Emanuel Early Childhood Center","Q028","4590601","510","9001.1784","General Academic","Early Childhood","109-10 47 AVENUE","QUEENS","NY","11368","Q","40.74714590000000","-73.85438710000000","[-73.8543871,40.7471459]","EC","A",,,,,,,,,,,,,,,,,,,,
"P.S. 282 Park Slope","K282","6247801","889","7027.8976","General Academic","K-8","180 6 AVENUE","BROOKLYN","NY","11217","K","40.67661600000000","-73.97798800000000","[-73.977988,40.676616]","EMS","B",,,,,,,,,,,"2.525","9","39","41","10","2.767","5","35","37","22"
"P.S. 284 Lew Wallace","K284","5403939","544","9933.7114","General Academic","K-8","213 OSBORN STREET","BROOKLYN","NY","11212","K","40.66705740000000","-73.90779830000000","[-73.9077983,40.6670574]","EMS","C",,,,,,,,,,,"1.989","26","48","23","1","2.232","20","46","23","10"
"P.S. 287 Bailey K. Ashford","K287","2473150","187","13225.4011","General Academic","Elementary","50 NAVY STREET","BROOKLYN","NY","11201","K","40.69798430000000","-73.98055010000000","[-73.9805501,40.6979843]","EMS","B",,,,,,,,,,,"1.806","34","50","13","1","2.171","10","65","21","3"
"P.S. 288 The Shirley Tanyhill","K288","6483276","549","11809.2459","General Academic","K-8","2950 WEST 25 STREET","BROOKLYN","NY","11224","K","40.57407150000000","-73.99190300000000","[-73.991903,40.5740715]","EMS","A",,,,,,,,,,,"1.918","30","47","20","1","2.285","13","50","29","6"
"P.S. 289 George V. Brower","K289","7653277","722","10600.1066","General Academic","Elementary","900 ST MARKS AVENUE","BROOKLYN","NY","11213","K","40.67424000000000","-73.94242799999999","[-73.94242799999999,40.67424]","EMS","B",,,,,,,,,,,"2.353","17","35","42","5","2.484","12","36","42","9"
"P.S. 290 Juan Morel Campos","K290","5028631","592","8494.3091","General Academic","Elementary","135 SCHENCK AVENUE","BROOKLYN","NY","11207","K","40.67796690000000","-73.88977170000001","[-73.88977170000001,40.6779669]","EMS","B",,,,,,,,,,,"2.313","12","48","35","4","2.755","5","34","39","20"
"P.S. 290 Manhattan New School","M290","4536347","644","7044.0171","General Academic","Elementary","311 EAST 82 STREET","MANHATTAN","NY","10028","M","40.77496420000000","-73.95279910000000","[-73.9527991,40.7749642]","EMS","A",,,,,,,,,,,"3.131","1","15","53","30","3.420","0","10","38","52"
"P.S. 291","X291","5105114","552","9248.3949","General Academic","Elementary","2195 ANDREWS AVENUE","BRONX","NY","10453","X","40.85922100000000","-73.90976100000000","[-73.909761,40.859221]","EMS","B",,,,,,,,,,,"2.454","10","41","41","7","2.878","1","33","42","23"
"P.S. 295","K295","3912750","399","9806.3910","General Academic","Elementary","330 18 STREET","BROOKLYN","NY","11215","K","40.66141130000000","-73.98903010000000","[-73.9890301,40.6614113]","EMS","A",,,,,,,,,,,"2.602","11","32","40","15","2.900","3","30","41","26"
"P.S. 297 Abraham Stockton","K297","3699964","327","11314.8746","General Academic","Elementary","700 PARK AVENUE","BROOKLYN","NY","11206","K","40.69780820000000","-73.94762550000000","[-73.9476255,40.6978082]","EMS","C",,,,,,,,,,,"2.030","27","45","24","3","2.151","22","48","21","8"
"P.S. 298 Dr. Betty Shabazz","K298","5733014","566","10129.0000","General Academic","K-8","85 WATKINS STREET","BROOKLYN","NY","11212","K","40.67100400000000","-73.90773800000000","[-73.907738,40.671004]","EMS","C",,,,,,,,,,,"1.969","25","54","18","2","1.969","26","53","17","3"
"P.S. 299 Thomas Warren Field","K299","5108085","469","10891.4392","General Academic","Elementary","88 WOODBINE STREET","BROOKLYN","NY","11221","K","40.69129960000000","-73.91792010000000","[-73.9179201,40.6912996]","EMS","B",,,,,,,,,,,"2.234","18","43","33","4","2.525","8","44","34","13"
"P.S. 3 Raul Julia Micro Society","X003","5042461","442","11408.2828","General Academic","K-8","2100 LAFONTAINE AVENUE","BRONX","NY","10457","X","40.84990590000000","-73.89226490000000","[-73.8922649,40.8499059]","EMS","A",,,,,,,,,,,"2.343","12","44","40","3","2.686","7","35","39","18"
"P.S. 304 Early Childhood School","X304","4672766","542","8621.3395","General Academic","Elementary","2750 LAFAYETTE AVENUE","BRONX","NY","10465","X","40.82695820000000","-73.83080380000000","[-73.8308038,40.8269582]","EMS","B",,,,,,,,,,,"2.704","5","34","44","15","3.212","3","13","43","40"
"P.S. 305 Dr. Peter Ray","K305","3468864","360","9635.7333","General Academic","Elementary","344 MONROE STREET","BROOKLYN","NY","11216","K","40.68611980000000","-73.94480620000000","[-73.9448062,40.6861198]","EMS","C",,,,,,,,,,,"2.202","18","47","30","4","2.398","14","41","33","10"
"P.S. 306","X306","7072578","723","9782.2656","General Academic","Elementary","40 WEST TREMONT AVENUE","BRONX","NY","10453","X","40.85198500000000","-73.91043890000000","[-73.9104389,40.851985]","EMS","C",,,,,,,,,,,"2.061","24","46","26","2","2.214","12","58","23","5"
"P.S. 306 Ethan Allen","K306","7121703","706","10087.3980","General Academic","K-8","970 VERMONT STREET","BROOKLYN","NY","11207","K","40.65539500000000","-73.88610400000000","[-73.886104,40.655395]","EMS","B",,,,,,,,,,,"2.030","20","58","19","2","2.333","11","50","32","6"
"P.S. 307 Daniel Hale Williams","K307","3685277","275","13401.0073","General Academic","Elementary","209 YORK STREET","BROOKLYN","NY","11201","K","40.70178090000000","-73.98158699999999","[-73.98158699999999,40.7017809]","EMS","C",,,,,,,,,,,"1.908","28","51","19","0","2.161","19","49","27","4"
"P.S. 308 Clara Cardwell","K308","7284297","719","10131.1502","General Academic","K-8","616 QUINCY STREET","BROOKLYN","NY","11221","K","40.68847510000000","-73.93593260000000","[-73.9359326,40.6884751]","EMS","C",,,,,,,,,,,"2.220","19","44","33","4","2.336","15","45","28","10"
"P.S. 309 The George E. Wibecan Preparatory Academy","K309","4688147","343","13668.0671","General Academic","Elementary","794 MONROE STREET","BROOKLYN","NY","11221","K","40.68850230000000","-73.92405190000000","[-73.9240519,40.6885023]","EMS","C",,,,,,,,,,,"2.050","21","55","20","3","2.333","12","48","33","6"
"P.S. 310 Marble Hill","X310","6551735","695","9426.9568","General Academic","Elementary","260 W KINGSBRIDGE RD","BRONX","NY","10463","X","40.87186560000000","-73.90446080000000","[-73.9044608,40.8718656]","EMS","A",,,,,,,,,,,"2.252","15","49","30","5","2.686","8","34","38","19"
"P.S. 312 Bergen Beach","K312","8423208","926","9096.3369","General Academic","Elementary","7103 AVENUE T","BROOKLYN","NY","11234","K","40.62161630000000","-73.90867690000000","[-73.9086769,40.6216163]","EMS","C",,,,,,,,,,,"2.818","4","27","51","17","3.181","2","17","41","39"
"P.S. 315 Lab School","X315","2351169","228","10312.1447","General Academic","K-8","2246 JEROME AVENUE","BRONX","NY","10453","X","40.85790200000000","-73.90377000000000","[-73.90377,40.857902]","EMS","A",,,,,,,,,,,"2.404","13","39","41","6","2.808","7","32","33","27"
"P.S. 316 Elijah Stroud","K316","3881292","258","15043.7674","General Academic","Elementary","750 CLASSON AVENUE","BROOKLYN","NY","11238","K","40.67428260000000","-73.96030130000000","[-73.9603013,40.6742826]","EMS","A",,,,,,,,,,,"2.428","11","41","39","7","2.656","9","37","32","21"
"P.S. 319","K319","1853519","181","10240.4365","General Academic","Early Childhood","360 KEAP STREET","BROOKLYN","NY","11211","K","40.70976400000000","-73.95404660000000","[-73.9540466,40.709764]",,,,,,,,,,,,,,,,,,,,,,
"P.S. 321 William Penn","K321","9212614","1325","6952.9162","General Academic","Elementary","180 7 AVENUE","BROOKLYN","NY","11215","K","40.67131970000000","-73.97792450000000","[-73.9779245,40.6713197]","EMS","A",,,,,,,,,,,"3.181","3","11","50","35","3.393","2","10","34","53"
"P.S. 325","M325","3965819","384","10327.6536","General Academic","Elementary","500 WEST 138 STREET","MANHATTAN","NY","10031","M","40.82084200000000","-73.95308200000000","[-73.953082,40.820842]","EMS","C",,,,,,,,,,,"1.959","26","51","20","1","2.252","14","53","25","7"
"P.S. 326","K326","2743976","249","11019.9839","General Academic","Early Childhood","1800 UTICA AVENUE","BROOKLYN","NY","11234","K","40.62842080000000","-73.92792370000000","[-73.9279237,40.6284208]",,,,,,,,,,,,,,,,,,,,,,
"P.S. 327 Dr. Rose B. English","K327","6878309","779","8829.6650","General Academic","K-8","111 BRISTOL STREET","BROOKLYN","NY","11212","K","40.66877730000000","-73.91244110000000","[-73.9124411,40.6687773]","EMS","C",,,,,,,,,,,"2.141","18","53","24","4","2.292","18","45","25","11"
"P.S. 328 Phyllis Wheatley","K328","6717597","568","11826.7553","General Academic","K-8","330 ALABAMA AVENUE","BROOKLYN","NY","11207","K","40.66782860000000","-73.89786920000000","[-73.8978692,40.6678286]","EMS","B",,,,,,,,,,,"1.979","24","55","18","2","2.151","22","46","25","6"
